ItemIndex,Id,CategoryIdx,ColorIdx,GraphicIdx,NormPrice
79,153115021,17,47,25,0.0
80,153115039,17,9,25,0.0
81,153115040,17,49,25,0.0
82,153115043,17,49,25,0.0
83,156224001,100,0,25,0.0
84,156224002,126,1,25,0.0
85,156227001,121,1,25,0.0
86,156227002,121,0,25,0.0
87,156231001,121,1,25,0.0
88,156231002,65,0,25,0.0
89,156289011,118,2,7,0.0
90,156610001,118,1,25,0.0
91,156610007,118,1,25,0.0
92,156610010,118,1,0,0.0
93,158340001,65,1,25,0.0
94,160442007,100,1,25,0.0
95,160442010,100,47,25,0.0
96,160442042,100,22,15,0.0
97,160442043,100,22,15,0.0
98,162074062,100,40,5,0.0
99,162074069,100,17,0,0.0
100,162074071,100,1,0,0.0
101,163734002,113,1,25,0.0
102,163734054,113,20,15,0.0
103,164912035,100,1,25,0.0
104,164912039,100,9,15,0.0
105,174057022,83,24,0,0.0
106,174057026,83,22,0,0.0
107,174057027,83,5,0,0.0
108,174057028,83,24,0,0.0
109,174057029,83,47,8,0.0
110,174057030,83,27,26,0.0
111,174057032,83,5,0,0.0
112,174057033,83,24,0,0.0
113,174057035,83,27,0,0.0
114,174057036,83,48,26,0.0
115,174057037,83,5,26,0.0
116,174057038,83,24,26,0.0
117,174057039,83,5,8,0.0
118,174057040,83,24,8,0.0
119,176209023,59,1,25,0.0
120,176209025,59,16,25,0.0
121,176209033,59,49,25,0.0
122,176209035,59,17,15,0.0
123,176209039,59,16,25,0.0
124,176209040,59,5,25,0.0
125,176209044,59,13,25,0.0
126,176209046,59,7,25,0.0
127,176550016,96,5,0,0.0
128,176550017,96,24,0,0.0
129,176550018,96,29,0,0.0
130,176550020,96,5,0,0.0
131,176550021,96,47,0,0.0
132,176754001,52,1,25,0.0
133,176754003,52,49,25,0.0
134,176754019,52,23,25,0.0
135,179123001,65,1,25,0.0
136,179123040,65,7,15,0.0
137,179208001,65,1,25,0.0
138,179208008,65,1,15,0.0
139,179393001,100,1,25,0.0
140,179393018,100,7,15,0.0
141,179950001,8,1,25,0.0
142,179950002,8,49,25,0.0
143,179950017,8,1,25,0.0
144,181160009,15,49,25,0.0
145,181448022,100,1,25,0.0
146,181448102,100,24,15,0.0
147,181448103,100,35,26,0.0
148,181448104,100,10,15,0.0
149,181448105,100,1,8,0.0
150,181448106,100,42,26,0.0
151,181448109,100,48,8,0.0
152,182909001,65,1,25,0.0
153,183815013,8,1,21,0.0
154,184121021,9,47,0,0.0
155,184123020,107,47,0,0.0
156,184583014,123,22,15,0.0
157,186262001,49,1,25,0.0
158,186262006,49,18,25,0.0
159,186262007,49,23,25,0.0
160,186262013,49,44,27,0.0
161,186264014,50,1,25,0.0
162,186264015,50,18,25,0.0
163,186264016,50,0,25,0.0
164,186266004,50,1,25,0.0
165,186267001,49,1,25,0.0
166,186372011,118,1,25,0.0
167,186372042,118,5,0,0.0
168,186372045,118,5,0,0.0
169,186595001,100,1,25,0.0
170,187949016,83,47,0,0.0
171,187949019,83,5,0,0.0
172,187949020,83,24,0,0.0
173,187949025,83,27,0,0.0
174,187949026,83,24,0,0.0
175,187949028,83,5,0,0.0
176,187949029,83,47,0,0.0
177,187949030,83,5,0,0.0
178,187949031,83,24,0,0.0
179,187949032,83,27,0,0.0
180,188183001,106,1,25,0.0
181,188183008,106,7,25,0.0
182,188183009,106,47,26,0.0
183,188183010,106,11,25,0.0
184,188183012,106,23,25,0.0
185,188183014,106,7,0,0.0
186,188183015,106,6,25,0.0
187,188183016,106,1,26,0.0
188,188183018,106,1,0,0.0
189,188183020,106,5,0,0.0
190,188183021,106,42,25,0.0
191,188183022,106,19,0,0.0
192,188183023,106,20,0,0.0
193,189383001,13,47,25,0.0
194,189383014,13,24,25,0.0
195,189616001,65,1,25,0.0
196,189616006,65,1,6,0.0
197,189616007,65,1,6,0.0
198,189616008,65,1,6,0.0
199,189616009,65,5,6,0.0
200,189616014,65,1,6,0.0
201,189616015,65,1,6,0.0
202,189616016,65,1,6,0.0
203,189616028,65,1,28,0.0
204,189616032,65,1,6,0.0
205,189616038,65,7,25,0.0
206,189626001,95,1,25,0.0
207,189634001,65,1,25,0.0
208,189634031,65,6,25,0.0
209,189654001,95,1,25,0.0
210,189654045,95,17,15,0.0
211,189654046,95,42,25,0.0
212,189654047,95,16,25,0.0
213,189691033,105,1,25,0.0
214,189691044,105,17,15,0.0
215,189691051,105,16,25,0.0
216,189691063,105,9,25,0.0
217,189691067,105,23,15,0.0
218,189691075,105,16,15,0.0
219,189955076,110,20,15,0.0
220,190021001,100,47,25,0.0
221,190021003,100,1,25,0.0
222,190021021,100,0,25,0.0
223,190252020,123,7,25,0.0
224,192460006,34,7,25,0.0
225,192960023,54,1,25,0.0
226,194037001,65,1,25,0.0
227,194037002,65,17,15,0.0
228,194242047,65,1,25,0.0
229,194242048,65,5,25,0.0
230,194242049,65,1,15,0.0
231,194242050,65,22,26,0.0
232,194270002,127,1,25,0.0
233,194270044,127,24,25,0.0
234,194270045,127,37,25,0.0
235,194270046,127,45,25,0.0
236,194902033,110,1,25,0.0
237,198518010,63,1,25,0.0
238,198518017,63,17,25,0.0
239,198518020,63,35,25,0.0
240,198518023,63,16,25,0.0
241,198518031,63,40,25,0.0
242,198714001,65,1,25,0.0
243,198714006,65,5,25,0.0
244,199119038,92,5,0,0.0
245,200182001,121,1,25,0.0
246,200182002,121,1,15,0.0
247,200761022,127,5,26,0.0
248,200761028,127,5,26,0.0
249,200761029,127,1,15,0.0
250,201219001,121,1,25,0.0
251,201219003,121,17,15,0.0
252,201219011,121,11,25,0.0
253,201219012,121,6,25,0.0
254,201219013,121,0,25,0.0
255,201219014,121,11,25,0.0
256,201219016,121,8,25,0.0
257,201219017,121,5,15,0.0
258,202017055,34,47,26,0.0
259,203027045,110,29,25,0.0
260,203027047,110,47,26,0.0
261,203027048,110,48,15,0.0
262,203595034,91,10,4,0.0
263,203595036,91,13,4,0.0
264,203595040,91,48,4,0.0
265,203595048,91,6,4,0.0
266,203595058,91,7,4,0.0
267,204892024,24,7,15,0.0
268,204892029,24,7,15,0.0
269,204892032,54,1,25,0.0
270,205225001,9,1,25,0.0
271,211143021,84,24,3,0.0
272,211143022,84,2,26,0.0
273,211143023,84,24,26,0.0
274,211143036,84,47,25,0.0
275,211143037,84,2,26,0.0
276,211143040,84,5,26,0.0
277,212042036,99,31,25,0.0
278,212042043,99,1,25,0.0
279,212042066,99,48,25,0.0
280,212042070,99,47,25,0.0
281,212629004,34,1,25,0.0
282,212629031,34,6,25,0.0
283,212629032,34,9,25,0.0
284,212629033,34,47,26,0.0
285,212629035,34,42,25,0.0
286,212629036,34,16,25,0.0
287,212629040,34,11,25,0.0
288,212629043,34,42,25,0.0
289,212629047,34,16,25,0.0
290,212629048,34,9,25,0.0
291,212629049,34,30,25,0.0
292,212629050,34,17,15,0.0
293,212629051,34,47,26,0.0
294,212766041,118,16,25,0.0
295,212766042,118,4,25,0.0
296,212766043,118,1,25,0.0
297,212766045,118,7,25,0.0
298,212766046,118,5,25,0.0
299,213690001,50,1,25,0.0
300,213691001,50,1,25,0.0
301,213691073,50,39,25,0.0
302,213691075,50,6,25,0.0
303,213691080,50,17,25,0.0
304,213691083,50,22,25,0.0
305,214844001,49,1,25,0.0
306,214844002,49,18,25,0.0
307,214844003,49,14,25,0.0
308,214844004,49,23,25,0.0
309,214844008,49,23,25,0.0
310,215248002,110,1,25,0.0
311,215303001,104,49,25,0.0
312,215303002,104,1,25,0.0
313,215303005,104,1,25,0.0
314,215324023,104,22,25,0.0
315,215337001,110,47,25,0.0
316,215337003,110,1,25,0.0
317,215337038,110,10,15,0.0
318,215337039,110,16,15,0.0
319,215337059,110,17,15,0.0
320,215337066,110,2,25,0.0
321,215337067,110,40,25,0.0
322,215589001,121,1,25,0.0
323,215589002,121,1,15,0.0
324,216081011,25,7,15,0.0
325,216961011,52,23,25,0.0
326,217207045,83,21,0,0.0
327,217207046,83,7,0,0.0
328,217207047,83,47,0,0.0
329,217207048,83,21,10,0.0
330,217207055,83,48,0,0.0
331,217727002,100,0,25,0.0
332,217727003,100,1,25,0.0
333,217727018,100,0,25,0.0
334,218354001,127,1,25,0.0
335,218354020,127,17,15,0.0
336,218354021,127,47,25,0.0
337,218354045,127,0,26,0.0
338,218354047,127,29,0,0.0
339,218829002,48,1,25,0.0
340,218829014,48,9,25,0.0
341,218829015,48,49,25,0.0
342,219075014,118,7,25,0.0
343,219075017,118,16,25,0.0
344,219075021,118,1,25,0.0
345,219075023,118,16,25,0.0
346,219075028,118,4,25,0.0
347,220094001,34,1,25,0.0
348,220094010,34,16,25,0.0
349,220094011,34,5,26,0.0
350,220094015,34,19,0,0.0
351,220094016,34,29,26,0.0
352,220094018,34,17,25,0.0
353,220094019,34,2,26,0.0
354,220094020,34,10,26,0.0
355,220094021,34,8,25,0.0
356,220365001,104,49,25,0.0
357,220365002,104,23,25,0.0
358,220365004,104,6,25,0.0
359,220365007,104,23,25,0.0
360,224314007,54,1,25,0.0
361,224314011,54,23,25,0.0
362,224314013,54,0,25,0.0
363,224314016,54,0,15,0.0
364,224314017,54,22,15,0.0
365,224314018,54,19,25,0.0
366,224337001,48,1,25,0.0
367,224337008,48,22,15,0.0
368,224521001,118,1,25,0.0
369,224521007,65,1,25,0.0
370,224606019,8,1,25,0.0
371,224606022,8,14,11,0.0
372,224606025,8,23,25,0.0
373,224606031,8,14,11,0.0
374,225286014,105,1,25,0.0
375,225784001,110,1,25,0.0
376,225784023,110,40,26,0.0
377,225784037,110,5,18,0.0
378,225784039,110,34,25,0.0
379,225784040,110,17,0,0.0
380,225784043,110,47,26,0.0
381,225784044,110,24,15,0.0
382,225784045,110,47,0,0.0
383,226011008,49,29,25,0.0
384,226959007,100,1,25,0.0
385,226959008,100,0,15,0.0
386,226959009,100,11,15,0.0
387,228257001,121,1,25,0.0
388,228257002,121,0,25,0.0
389,228257003,121,0,25,0.0
390,228257004,121,49,25,0.0
391,228257005,121,7,25,0.0
392,228257008,121,49,25,0.0
393,233091003,48,1,25,0.0
394,233091015,48,23,25,0.0
395,233091016,48,10,25,0.0
396,233091019,48,24,11,0.0
397,233091020,48,1,11,0.0
398,233091021,48,1,25,0.0
399,233091022,48,9,25,0.0
400,233672016,105,5,26,0.0
401,234187001,24,1,25,0.0
402,234187030,24,7,15,0.0
403,234421001,121,1,25,0.0
404,234421002,121,11,25,0.0
405,234421004,121,5,25,0.0
406,234432001,121,1,25,0.0
407,234432002,121,0,25,0.0
408,234622003,113,5,25,0.0
409,234622004,113,17,25,0.0
410,234622007,113,47,25,0.0
411,235596002,37,47,25,0.0
412,235732024,84,42,0,0.0
413,235732026,84,24,22,0.0
414,235732029,84,22,15,0.0
415,237032003,65,1,15,0.0
416,237222001,113,1,25,0.0
417,237222012,113,47,25,0.0
418,237222016,113,5,26,0.0
419,237347004,59,1,25,0.0
420,237347011,59,17,15,0.0
421,237347017,59,27,15,0.0
422,237347022,59,40,25,0.0
423,237347024,59,20,15,0.0
424,237347025,59,11,15,0.0
425,237347027,59,29,15,0.0
426,237347028,59,41,15,0.0
427,237347031,59,34,15,0.0
428,237347035,59,5,25,0.0
429,237347036,59,24,15,0.0
430,237347037,59,5,15,0.0
431,237347039,59,0,15,0.0
432,237347040,59,20,15,0.0
433,237347043,59,0,15,0.0
434,237347044,59,27,25,0.0
435,237347045,59,47,25,0.0
436,237347052,59,23,25,0.0
437,237347053,59,16,25,0.0
438,237347055,59,17,15,0.0
439,237347059,59,10,25,0.0
440,237347060,59,17,15,0.0
441,237347063,59,40,25,0.0
442,237347069,59,47,25,0.0
443,238197014,113,9,15,0.0
444,238197030,113,5,25,0.0
445,238197034,113,47,26,0.0
446,240561001,121,1,25,0.0
447,240670058,110,5,15,0.0
448,240670060,110,23,15,0.0
449,240840032,118,1,25,0.0
450,241412034,65,7,0,0.0
451,241412037,65,1,22,0.0
452,241412038,65,8,0,0.0
453,241412043,65,4,0,0.0
454,241412044,65,42,0,0.0
455,241412045,65,6,0,0.0
456,241412046,65,1,0,0.0
457,241412052,65,1,11,0.0
458,241436001,5,1,25,0.0
459,241436006,5,19,25,0.0
460,241486015,118,1,25,0.0
461,241486016,118,1,25,0.0
462,241590001,11,1,25,0.0
463,241602003,11,1,25,0.0
464,241602018,11,17,15,0.0
465,241602023,11,7,15,0.0
466,241602024,11,5,15,0.0
467,241602027,11,5,21,0.0
468,241602028,11,5,25,0.0
469,242354009,92,5,0,0.0
470,243613004,65,1,25,0.0
471,243937001,100,1,25,0.0
472,243937018,100,7,15,0.0
473,243937023,100,11,15,0.0
474,243937024,100,0,15,0.0
475,243937025,100,1,6,0.0
476,243937028,100,1,6,0.0
477,244267001,105,5,25,0.0
478,244267004,105,47,25,0.0
479,244267017,105,24,20,0.0
480,244267021,105,20,20,0.0
481,244267027,105,4,21,0.0
482,244267028,105,5,21,0.0
483,244267029,105,24,19,0.0
484,244267032,105,1,20,0.0
485,244269018,13,5,25,0.0
486,244269019,13,5,26,0.0
487,244269020,13,0,26,0.0
488,244853002,59,17,15,0.0
489,244853030,59,24,25,0.0
490,244853032,59,21,25,0.0
491,244853036,59,5,25,0.0
492,245348002,54,42,22,0.0
493,247072018,83,26,0,0.0
494,247072020,83,24,0,0.0
495,247072022,83,26,0,0.0
496,247072023,83,27,0,0.0
497,247072025,83,20,0,0.0
498,247072026,83,24,0,0.0
499,247072031,83,47,0,0.0
500,247072032,83,24,0,0.0
501,249136006,118,20,7,0.0
502,249136011,118,47,7,0.0
503,249136015,118,20,7,0.0
504,249136019,118,2,7,0.0
505,249136020,118,2,7,0.0
506,249136022,118,5,7,0.0
507,249136023,118,20,7,0.0
508,249136025,118,2,7,0.0
509,249136028,118,2,7,0.0
510,249136034,118,5,7,0.0
511,250099001,121,1,25,0.0
512,250099002,121,17,25,0.0
513,250457010,92,2,7,0.0
514,251510001,121,1,25,0.0
515,252229001,118,1,25,0.0
516,252298002,118,1,25,0.0
517,252298005,118,22,0,0.0
518,252298006,118,11,25,0.0
519,252298013,118,16,0,0.0
520,252298014,118,47,25,0.0
521,252298015,118,2,25,0.0
522,252298016,118,16,25,0.0
523,253176016,107,1,21,0.0
524,253448001,17,1,25,0.0
525,253448002,17,47,25,0.0
526,253448003,17,19,25,0.0
527,253448056,17,47,25,0.0
528,253448059,17,49,25,0.0
529,253448062,17,49,25,0.0
530,254303049,100,16,22,0.0
531,254303050,100,17,15,0.0
532,254303051,100,5,18,0.0
533,254303054,100,1,26,0.0
534,254303055,100,11,26,0.0
535,254303056,100,1,26,0.0
536,254303057,100,47,26,0.0
537,254303058,100,5,5,0.0
538,254303059,100,28,26,0.0
539,254457030,34,24,0,0.0
540,254457031,34,5,26,0.0
541,254457033,34,5,0,0.0
542,254457034,34,29,0,0.0
543,254457037,34,24,0,0.0
544,254457038,34,5,0,0.0
545,254457039,34,24,0,0.0
546,254940026,118,1,28,0.0
547,255396006,25,17,28,0.0
548,255396007,25,1,25,0.0
549,255396010,25,19,28,0.0
550,255396018,25,11,28,0.0
551,255396023,25,16,25,0.0
552,255396024,25,1,25,0.0
553,255396025,25,17,28,0.0
554,255396033,25,40,28,0.0
555,255396042,25,11,28,0.0
556,256096022,110,5,0,0.0
557,256096023,110,48,26,0.0
558,256151014,118,1,28,0.0
559,256151015,118,7,28,0.0
560,256511038,9,1,0,0.0
561,256511039,9,18,6,0.0
562,256513038,107,18,21,0.0
563,257430026,127,5,0,0.0
564,257430027,127,22,0,0.0
565,257430029,127,47,0,0.0
566,257430030,127,29,18,0.0
567,257430032,127,22,0,0.0
568,257430035,127,24,18,0.0
569,257430036,127,29,18,0.0
570,257667055,110,23,15,0.0
571,257667061,110,5,25,0.0
572,258650001,15,1,25,0.0
573,260736025,110,20,25,0.0
574,260736026,110,47,25,0.0
575,260736028,110,6,25,0.0
576,260736029,110,5,25,0.0
577,260736030,110,15,25,0.0
578,260736032,110,10,25,0.0
579,260736033,110,24,25,0.0
580,261526007,100,47,20,0.0
581,261526010,100,24,25,0.0
582,261606001,127,1,25,0.0
583,261606016,127,17,15,0.0
584,261606022,127,45,15,0.0
585,261840008,100,1,20,0.0
586,261840009,100,47,20,0.0
587,262277009,118,5,25,0.0
588,262277011,118,1,25,0.0
589,262277026,118,16,25,0.0
590,262277029,118,5,25,0.0
591,264713001,74,5,25,0.0
592,264713028,74,49,25,0.0
593,264984001,113,1,25,0.0
594,265069012,110,47,25,0.0
595,265069014,110,5,25,0.0
596,265069020,110,15,25,0.0
597,265069021,110,30,25,0.0
598,265069024,110,20,25,0.0
599,265069025,110,28,25,0.0
600,265069026,110,27,25,0.0
601,265071012,110,47,25,0.0
602,265071013,110,5,25,0.0
603,265071020,110,20,25,0.0
604,265071021,110,30,25,0.0
605,265071022,110,28,25,0.0
606,265071025,110,15,25,0.0
607,265071027,110,20,25,0.0
608,265071028,110,21,25,0.0
609,265071030,110,42,25,0.0
610,265071034,110,27,25,0.0
611,265630004,100,1,25,0.0
612,265630006,100,19,25,0.0
613,266168001,121,1,25,0.0
614,266168003,121,0,25,0.0
615,266873001,100,1,25,0.0
616,266873006,100,19,25,0.0
617,266873009,100,19,0,0.0
618,266875001,100,1,25,0.0
619,266875006,100,47,25,0.0
620,266875012,100,5,25,0.0
621,266875014,100,5,25,0.0
622,266875015,100,41,25,0.0
623,266875019,100,41,25,0.0
624,266875022,100,5,25,0.0
625,266875024,100,40,25,0.0
626,268305001,104,1,25,0.0
627,268305006,104,49,25,0.0
628,268305007,104,0,25,0.0
629,268305008,104,16,27,0.0
630,268450034,127,30,18,0.0
631,268450035,127,5,18,0.0
632,268450036,127,2,18,0.0
633,269342021,113,1,26,0.0
634,269342023,113,1,26,0.0
635,269342025,113,17,9,0.0
636,269342026,113,17,1,0.0
637,269342027,113,47,0,0.0
638,270375001,104,1,25,0.0
639,270375004,104,0,25,0.0
640,270375005,104,49,0,0.0
641,270375006,104,19,15,0.0
642,270381001,104,49,25,0.0
643,270381003,104,1,25,0.0
644,270381004,104,14,25,0.0
645,270381007,104,40,25,0.0
646,270381011,104,30,25,0.0
647,270381013,104,23,25,0.0
648,270382001,104,49,25,0.0
649,270382004,104,23,25,0.0
650,272591001,34,1,25,0.0
651,272591016,34,17,15,0.0
652,272591023,34,6,15,0.0
653,272591026,34,47,26,0.0
654,272591028,34,16,25,0.0
655,272591029,34,30,25,0.0
656,275362021,92,0,25,0.0
657,275362022,92,7,25,0.0
658,276242019,34,42,0,0.0
659,276242021,34,42,0,0.0
660,276242022,34,48,0,0.0
661,276242023,34,5,0,0.0
662,276242024,34,24,0,0.0
663,276242025,34,48,0,0.0
664,276242026,34,42,0,0.0
665,276540021,84,47,0,0.0
666,277738002,61,17,15,0.0
667,277738011,61,5,25,0.0
668,277738012,61,40,25,0.0
669,278038005,65,1,25,0.0
670,278038027,65,5,25,0.0
671,278038028,65,1,0,0.0
672,278038029,65,47,25,0.0
673,278038031,65,1,0,0.0
674,278038035,65,1,0,0.0
675,278038036,65,47,26,0.0
676,278563001,87,1,25,0.0
677,278811002,123,1,25,0.0
678,278811006,123,1,25,0.0
679,278811007,123,19,25,0.0
680,278811009,123,49,25,0.0
681,278811010,123,49,25,0.0
682,278811011,123,0,25,0.0
683,280256001,17,1,25,0.0
684,280256006,17,47,25,0.0
685,282832001,60,1,25,0.0
686,282832012,60,6,25,0.0
687,282832014,60,5,25,0.0
688,282832015,60,1,0,0.0
689,282832017,60,1,0,0.0
690,282832018,60,1,25,0.0
691,282832019,60,6,25,0.0
692,282832021,60,1,0,0.0
693,282832022,60,47,0,0.0
694,283236014,91,2,3,0.0
695,283236018,91,6,3,0.0
696,283236020,91,41,3,0.0
697,283236022,91,28,3,0.0
698,283236023,91,27,3,0.0
699,283236026,91,1,3,0.0
700,283236027,91,16,3,0.0
701,283236028,91,24,3,0.0
702,283236029,91,42,3,0.0
703,283236034,91,0,15,0.0
704,283532005,17,1,14,0.0
705,283937018,84,17,18,0.0
706,283937019,84,24,10,0.0
707,283937023,84,5,18,0.0
708,284985037,113,5,18,0.0
709,284985039,113,5,0,0.0
710,284985044,113,47,8,0.0
711,284985045,113,35,26,0.0
712,285143024,118,1,15,0.0
713,285602012,13,47,25,0.0
714,286536007,17,11,25,0.0
715,287645002,121,1,25,0.0
716,287645003,121,47,25,0.0
717,287645013,121,24,25,0.0
718,287645022,121,35,25,0.0
719,287645023,121,5,25,0.0
720,287645027,121,24,25,0.0
721,287645029,121,1,25,0.0
722,287645031,121,24,25,0.0
723,288575010,13,5,26,0.0
724,288575011,13,15,26,0.0
725,288825012,121,17,20,0.0
726,288825017,121,7,20,0.0
727,288825018,121,17,20,0.0
728,288825019,121,7,20,0.0
729,288825021,121,1,20,0.0
730,288825022,121,17,20,0.0
731,288825024,121,1,20,0.0
732,288825029,121,1,18,0.0
733,288859004,121,1,25,0.0
734,288859009,121,29,25,0.0
735,288859013,121,29,25,0.0
736,288859017,121,1,25,0.0
737,288859018,121,17,25,0.0
738,288859020,121,17,25,0.0
739,289597012,119,35,25,0.0
740,289597015,119,1,0,0.0
741,289597016,119,24,0,0.0
742,289597022,119,5,25,0.0
743,289834016,5,29,22,0.0
744,290022001,24,1,25,0.0
745,290519008,25,7,25,0.0
746,290519011,25,45,25,0.0
747,290519014,25,5,0,0.0
748,290519017,25,40,25,0.0
749,290519019,25,42,25,0.0
750,290519024,25,5,25,0.0
751,290675006,60,1,25,0.0
752,291333007,121,47,25,0.0
753,291333012,121,1,20,0.0
754,291333013,121,24,20,0.0
755,291333014,121,5,20,0.0
756,291333015,121,24,25,0.0
757,291333016,121,1,25,0.0
758,291333018,121,22,25,0.0
759,291333019,121,29,25,0.0
760,291333021,121,29,25,0.0
761,291333023,121,22,25,0.0
762,291338004,121,47,25,0.0
763,291338005,121,7,25,0.0
764,291338011,121,24,25,0.0
765,291338012,121,24,25,0.0
766,291338014,121,5,25,0.0
767,291338017,121,47,20,0.0
768,291338018,121,5,20,0.0
769,291338020,121,7,20,0.0
770,291338022,121,24,21,0.0
771,291338023,121,5,25,0.0
772,291338024,121,24,25,0.0
773,291338025,121,47,25,0.0
774,291338026,121,27,25,0.0
775,291338031,121,47,25,0.0
776,291338032,121,24,25,0.0
777,291338033,121,47,25,0.0
778,291338034,121,47,25,0.0
779,291338035,121,24,25,0.0
780,291957007,118,17,21,0.0
781,291957009,118,1,25,0.0
782,292453003,37,1,25,0.0
783,292453009,37,5,25,0.0
784,292453011,37,0,25,0.0
785,292453013,37,14,25,0.0
786,292453014,37,23,25,0.0
787,292453015,37,43,25,0.0
788,292453025,37,0,25,0.0
789,292453028,37,6,25,0.0
790,292453031,37,9,25,0.0
791,292453034,37,28,25,0.0
792,292551001,54,1,25,0.0
793,292551012,54,24,25,0.0
794,292551014,54,17,25,0.0
795,293244001,121,1,25,0.0
796,293244002,121,47,25,0.0
797,293244003,121,0,25,0.0
798,293244008,121,0,25,0.0
799,293244010,121,5,25,0.0
800,293433001,121,47,25,0.0
801,293433002,121,1,25,0.0
802,293433009,121,24,25,0.0
803,293433012,121,11,25,0.0
804,293433018,121,24,25,0.0
805,293433021,121,48,25,0.0
806,293433022,121,40,25,0.0
807,293433024,121,42,25,0.0
808,293433026,121,5,25,0.0
809,293433027,121,17,25,0.0
810,293433029,121,35,25,0.0
811,293433042,121,48,25,0.0
812,293433043,121,11,25,0.0
813,293433044,121,11,25,0.0
814,293433045,121,29,25,0.0
815,293433046,121,47,25,0.0
816,293433047,121,17,25,0.0
817,293433048,121,1,25,0.0
818,293433049,121,24,25,0.0
819,293433050,121,47,25,0.0
820,293433054,121,48,25,0.0
821,293433055,121,15,25,0.0
822,293433057,121,49,25,0.0
823,293433061,121,22,25,0.0
824,293510001,121,47,25,0.0
825,293510002,121,1,25,0.0
826,293510004,121,22,15,0.0
827,293510007,121,5,25,0.0
828,293510008,121,42,25,0.0
829,293510009,121,17,15,0.0
830,293510013,121,47,25,0.0
831,293510015,121,11,25,0.0
832,293510016,121,47,25,0.0
833,293510018,121,17,25,0.0
834,294008002,29,1,25,0.0
835,294008005,29,47,25,0.0
836,294008009,110,1,25,0.0
837,294008036,110,30,25,0.0
838,294008040,110,47,26,0.0
839,294008042,110,48,25,0.0
840,294008044,110,9,25,0.0
841,294008047,110,47,26,0.0
842,294008050,110,47,8,0.0
843,294008056,110,16,25,0.0
844,294076007,118,1,25,0.0
845,294076018,118,2,7,0.0
846,294237001,24,1,25,0.0
847,294895011,54,47,6,0.0
848,294895015,54,35,25,0.0
849,295873003,48,1,25,0.0
850,295873004,48,13,25,0.0
851,296366006,52,29,25,0.0
852,296366013,52,30,25,0.0
853,296366024,52,24,25,0.0
854,296366031,52,42,25,0.0
855,296366032,52,9,25,0.0
856,296366034,52,23,25,0.0
857,296375018,49,47,25,0.0
858,296471021,123,35,10,0.0
859,296471024,123,47,0,0.0
860,296471025,123,47,0,0.0
861,296476008,86,7,0,0.0
862,296476009,86,47,0,0.0
863,296476012,86,47,0,0.0
864,296476013,86,5,10,0.0
865,296476014,86,7,0,0.0
866,296476015,86,5,0,0.0
